frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,3.360566188348457217e-05,1.573501601726530127e-02
1.020000000000000107e+01,1.097326676244847476e-04,2.175508534655648182e-02
1.040000000000000036e+01,4.145216007600538433e-05,1.149152916804696035e-02
1.060000000000000142e+01,1.414994039805606008e-04,3.602621144728206104e-02
1.080000000000000071e+01,1.005912999971769750e-04,2.859523865183054639e-02
1.100000000000000000e+01,9.045506158145144582e-05,1.680646785198966833e-02
1.120000000000000107e+01,1.414251892128959298e-04,3.173209910407019663e-02
1.140000000000000036e+01,1.030289349728263915e-04,1.519831733450011969e-02
1.160000000000000142e+01,2.215097629232332110e-05,2.983640684368214085e-03
1.180000000000000071e+01,3.147934330627322197e-05,8.020970398357458011e-04
1.200000000000000000e+01,1.474896998843178153e-04,3.134466974240154857e-02
1.220000000000000107e+01,3.420418943278491497e-05,1.121187476935382211e-02
1.240000000000000036e+01,7.932724838610738516e-05,1.200247847969401586e-02
1.260000000000000142e+01,2.715036098379641771e-04,4.278213593015318256e-02
1.280000000000000071e+01,9.932138345902785659e-05,1.287073255960178610e-02
1.300000000000000000e+01,1.856622111517935991e-05,2.239463077416366417e-03
1.320000000000000107e+01,1.324053737334907055e-04,1.875325011389438259e-02
1.340000000000000036e+01,1.351449172943830490e-04,1.540477085943191791e-02
1.360000000000000142e+01,1.584633137099444866e-04,2.156484337495706213e-02
1.380000000000000071e+01,3.494066550047136843e-05,9.106242103254343079e-03
1.400000000000000000e+01,8.161593723343685269e-05,6.450684660407166385e-03
1.420000000000000107e+01,6.135304283816367388e-05,9.505687116061877634e-03
1.440000000000000036e+01,9.477972344029694796e-05,1.516081117696495284e-02
1.460000000000000142e+01,1.428325340384617448e-04,1.512919522229561227e-02
1.480000000000000071e+01,9.746261639520525932e-05,1.037665176512226131e-02
1.500000000000000000e+01,6.511939136544242501e-05,1.015286609853946129e-02
1.520000000000000107e+01,9.385180601384490728e-05,1.172253972090367413e-02
