frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,6.429783388739451766e-05,2.119349022535724908e-02
1.020000000000000107e+01,8.449288725387305021e-05,2.016886833108275795e-02
1.040000000000000036e+01,1.279707066714763641e-04,3.495474654620911448e-02
1.060000000000000142e+01,1.447023969376459718e-04,2.711400302568897636e-02
1.080000000000000071e+01,9.229902207152917981e-05,1.774730669215664886e-02
1.100000000000000000e+01,6.937669240869581699e-05,1.551701079404830229e-02
1.120000000000000107e+01,3.182702130288816988e-05,6.203596813190280328e-03
1.140000000000000036e+01,7.946415280457586050e-05,1.039909978183651759e-02
1.160000000000000142e+01,4.579543383442796767e-05,1.165470196114611924e-02
1.180000000000000071e+01,1.433754514437168837e-04,2.310743974002238410e-02
1.200000000000000000e+01,6.468776700785383582e-05,7.633857752811399125e-03
1.220000000000000107e+01,2.375006624788511544e-05,9.230973247959220820e-03
1.240000000000000036e+01,7.680345879634842277e-05,1.176785180454679135e-02
1.260000000000000142e+01,1.729932409944012761e-04,3.208388707856531935e-02
1.280000000000000071e+01,1.770044036675244570e-04,2.393741371989348624e-02
1.300000000000000000e+01,1.972767131519503891e-05,2.274571616783675754e-03
1.320000000000000107e+01,1.113537218770943582e-04,1.397962169096656458e-02
1.340000000000000036e+01,4.598422674462199211e-05,9.747291690103470838e-03
1.360000000000000142e+01,6.680107617285102606e-05,1.361879518298333112e-02
1.380000000000000071e+01,6.119737372500821948e-05,1.251587884199196164e-02
1.400000000000000000e+01,7.945755351101979613e-05,1.235863223378104100e-02
1.420000000000000107e+01,1.271344372071325779e-04,1.983821886021726322e-02
1.440000000000000036e+01,9.507568029221147299e-05,1.338265782839097480e-02
1.460000000000000142e+01,4.012996214441955090e-05,1.531555437968965981e-03
1.480000000000000071e+01,1.046567413141019642e-04,8.094134234538316944e-03
1.500000000000000000e+01,1.050938735716044903e-04,1.360650907416127188e-02
1.520000000000000107e+01,2.874568053812254220e-05,6.199595880359887005e-03
1.540000000000000036e+01,6.487986684078350663e-05,6.510476346773436639e-03
1.560000000000000142e+01,1.835805051086936146e-05,2.074248142723854327e-03
1.580000000000000071e+01,7.973019819473847747e-05,6.055365420299913849e-03
1.600000000000000000e+01,1.109152162825921550e-05,4.721062578217020099e-03
1.619999999999999929e+01,1.122651374316774309e-04,7.150478058500696517e-03
1.640000000000000213e+01,4.763632387039251626e-05,8.103866665609735231e-03
1.660000000000000142e+01,3.652070518000982702e-05,6.107219161647905667e-03
1.680000000000000071e+01,1.108331707655452192e-04,8.287827247080416238e-03
1.700000000000000000e+01,4.922560401610098779e-05,2.471141814285157581e-03
1.719999999999999929e+01,1.422789355274289846e-04,1.435781182504856229e-02
1.740000000000000213e+01,3.810841735685244203e-05,6.169559736255375917e-03
1.760000000000000142e+01,1.533262402517721057e-04,1.282220085088132608e-02
1.780000000000000071e+01,4.643633656087331474e-05,6.483117119714280202e-03
1.800000000000000000e+01,1.172835836769081652e-04,1.071934972502081897e-02
1.819999999999999929e+01,6.228518905118107796e-04,4.507875238925122818e-02
1.840000000000000213e+01,2.693769056349992752e-04,1.703860492859030767e-02
1.860000000000000142e+01,6.478623254224658012e-05,2.239838186350836310e-03
1.880000000000000071e+01,2.189224869653116912e-05,2.557952074042178694e-03
1.900000000000000000e+01,5.904641875531524420e-05,3.273955795964080939e-03
1.920000000000000284e+01,1.467220281483605504e-04,7.121390850939468206e-03
1.940000000000000213e+01,5.950907507212832570e-05,1.506019650838857568e-03
1.960000000000000142e+01,3.287644358351826668e-05,8.075619464021518935e-04
1.980000000000000071e+01,2.267212948936503381e-05,1.533131853361725761e-03
2.000000000000000000e+01,2.728801700868643820e-05,4.290776441802166517e-03
2.020000000000000284e+01,1.549625631014350802e-05,2.558822235651203071e-03
2.040000000000000213e+01,1.023256118060089648e-05,3.330903136273244500e-03
2.060000000000000142e+01,9.603418584447354078e-05,3.641821363974157184e-03
2.080000000000000071e+01,6.101647522882558405e-05,4.044281633922697586e-03
2.100000000000000000e+01,1.895658351713791490e-05,2.185735847166945384e-03
2.120000000000000284e+01,1.097915883292444050e-04,8.355968071735513439e-03
2.140000000000000213e+01,1.173796044895425439e-04,8.078526334496960448e-03
2.160000000000000142e+01,4.693172741099260747e-05,3.145819320787922053e-03
2.180000000000000071e+01,5.111336577101610601e-06,2.807129802417272606e-03
2.200000000000000000e+01,9.159236651612445712e-05,3.273465086381194006e-03
2.220000000000000284e+01,7.342860044445842505e-05,1.806293055458986843e-03
2.240000000000000213e+01,1.572345536260399967e-05,2.882511775894832252e-03
2.260000000000000142e+01,5.289691034704446793e-05,2.580554466166765440e-03
2.280000000000000071e+01,4.598744999384507537e-05,2.282066284853588763e-03
2.300000000000000000e+01,1.217617973452433944e-04,4.633761016343973180e-03
2.320000000000000284e+01,9.180279448628425598e-05,1.904061432967497219e-03
2.340000000000000213e+01,1.865517842816188931e-04,8.307898212866999393e-03
2.360000000000000142e+01,2.798141395032871515e-05,2.939819619561538123e-03
2.380000000000000071e+01,2.311608841409906745e-05,3.384212552938570089e-03
2.400000000000000000e+01,9.348757157567888498e-05,3.792433212733605039e-03
2.420000000000000284e+01,2.854159356502350420e-05,2.777952278564720535e-03
2.440000000000000213e+01,3.396013926248997450e-05,1.236271264241338387e-03
2.460000000000000142e+01,4.942392843076959252e-05,1.352930338430456637e-03
2.480000000000000071e+01,3.520324753480963409e-05,2.648890670149716201e-03
2.500000000000000000e+01,1.278864365303888917e-04,4.677051313393441184e-03
2.520000000000000284e+01,1.561288663651794195e-04,7.496773748608029711e-03
2.540000000000000213e+01,4.985575651517137885e-05,2.823613876851964726e-03
2.560000000000000142e+01,7.492983131669461727e-04,3.108812256579882374e-02
2.580000000000000071e+01,2.483936841599643230e-04,7.345513042753374321e-03
2.600000000000000000e+01,3.789810871239751577e-04,1.223895644631587190e-02
2.620000000000000284e+01,1.813995477277785540e-04,6.517528409503326944e-03
2.640000000000000213e+01,1.530023291707038879e-04,5.068232996569102186e-03
2.660000000000000142e+01,6.352774653350934386e-05,2.882237723969780234e-04
2.680000000000000071e+01,1.180501567432656884e-04,2.128159489342433888e-03
2.700000000000000000e+01,1.809431996662169695e-04,4.262771112362184062e-03
2.720000000000000284e+01,2.431080210953950882e-04,7.560559675507546283e-03
2.740000000000000213e+01,1.678722474025562406e-04,5.219180236998990224e-03
2.760000000000000142e+01,2.625450433697551489e-04,7.445514974311551876e-03
2.780000000000000071e+01,2.778228663373738527e-04,7.443622247271652372e-03
2.800000000000000000e+01,7.414725841954350471e-04,2.358482074642689538e-02
2.820000000000000284e+01,3.887346247211098671e-04,1.114090965398036731e-02
2.840000000000000213e+01,2.840001834556460381e-04,7.140739194822235715e-03
2.860000000000000142e+01,7.939322385936975479e-04,2.347983210178801114e-02
2.880000000000000071e+01,5.661618197336792946e-04,1.603416187724807443e-02
2.900000000000000000e+01,6.892754463478922844e-04,1.931819902061593722e-02
2.920000000000000284e+01,1.055618515238165855e-03,2.990545086844275877e-02
2.940000000000000213e+01,1.374299055896699429e-03,3.882967790065243452e-02
2.960000000000000142e+01,4.518738482147455215e-03,1.291622460399392547e-01
2.980000000000000071e+01,3.571852575987577438e-03,1.034091024441605583e-01
3.000000000000000000e+01,1.211270340718328953e-03,3.585513624012481165e-02
3.020000000000000284e+01,3.318165254313498735e-04,1.010839966614766362e-02
3.040000000000000213e+01,1.772536779753863811e-03,4.981086289568834036e-02
3.060000000000000142e+01,8.604517788626253605e-04,2.467608792053592459e-02
3.080000000000000071e+01,1.014485838823020458e-03,2.847069610284237023e-02
3.100000000000000000e+01,3.204875974915921688e-04,9.691988767804832205e-03
3.120000000000000284e+01,2.362090453971177340e-04,7.516297353643020158e-03
3.140000000000000213e+01,4.253171500749886036e-04,1.247144163956268731e-02
3.160000000000000142e+01,2.492551284376531839e-04,7.564660759478755020e-03
3.180000000000000071e+01,2.527789329178631306e-04,7.826755037787324829e-03
3.200000000000000000e+01,3.538151504471898079e-04,1.025337703032714459e-02
3.220000000000000284e+01,1.033379885484464467e-04,3.947236904052042229e-03
3.239999999999999858e+01,8.728954708203673363e-05,3.765882033013675904e-03
3.260000000000000142e+01,1.145930291386321187e-04,4.074204293809269989e-03
3.280000000000000426e+01,1.179981409222818911e-04,4.132056123726659397e-03
3.300000000000000000e+01,1.430260454071685672e-04,4.751650223477816605e-03
3.320000000000000284e+01,1.477478799642995000e-04,4.953399866528815539e-03
3.339999999999999858e+01,3.689212826429866254e-05,2.455765471470785534e-03
3.360000000000000142e+01,1.529241853859275579e-04,5.043329132539512392e-03
3.380000000000000426e+01,1.186445297207683325e-04,4.015900594550470687e-03
3.400000000000000000e+01,1.961457601282745600e-04,5.650744692979915718e-03
3.420000000000000284e+01,1.514613977633416653e-04,4.658622806411376327e-03
3.439999999999999858e+01,4.406179868965409696e-05,1.970749812599285108e-03
3.460000000000000142e+01,9.097519796341657639e-05,3.483244962416062133e-03
3.480000000000000426e+01,7.229398761410266161e-05,2.601448928357803086e-03
3.500000000000000000e+01,1.013243963825516403e-04,3.415559286724864207e-03
3.520000000000000284e+01,8.180853183148428798e-05,2.862829095115278395e-03
3.539999999999999858e+01,4.459212868823669851e-05,2.341216650145062483e-03
3.560000000000000142e+01,7.862163329264149070e-05,2.601329272227581504e-03
3.580000000000000426e+01,3.473039032542146742e-05,2.153956494205234735e-03
3.600000000000000000e+01,7.497929618693888187e-05,1.760897643626519902e-03
3.620000000000000284e+01,1.175329525722190738e-04,3.751472986277792129e-03
3.639999999999999858e+01,1.135942220571450889e-04,3.547152026833633436e-03
3.660000000000000142e+01,8.433549373876303434e-05,2.703505993372009794e-03
3.680000000000000426e+01,6.094674608903005719e-05,2.541242447674125181e-03
3.700000000000000000e+01,5.118838089401833713e-05,2.306586700155839349e-03
3.720000000000000284e+01,6.717385986121371388e-05,2.164553956354219391e-03
3.739999999999999858e+01,1.128005169448442757e-04,2.836397886062049303e-03
3.760000000000000142e+01,1.212841088999994099e-04,3.413063415172655404e-03
3.780000000000000426e+01,1.300540898228064179e-04,2.562798461500262730e-03
3.800000000000000000e+01,5.576733383350074291e-05,1.688616293470338080e-03
3.820000000000000284e+01,6.408431363524869084e-05,1.201738634234584494e-03
3.840000000000000568e+01,2.137169067282229662e-04,5.064924884123168936e-03
