frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,1.049821876222267747e-04,4.837176450668893846e-02
1.020000000000000107e+01,1.260428834939375520e-04,4.107584043117982336e-02
1.040000000000000036e+01,6.023352034389972687e-05,8.233776564094925227e-03
1.060000000000000142e+01,4.706198888015933335e-05,2.436404437576794937e-02
1.080000000000000071e+01,6.654983008047565818e-05,1.707562103851661961e-02
1.100000000000000000e+01,1.191852206829935312e-04,1.570947380647913158e-02
1.120000000000000107e+01,8.114252705127000809e-05,3.407553509635388028e-02
1.140000000000000036e+01,7.480777276214212179e-05,3.103718606896328780e-02
1.160000000000000142e+01,6.908746581757441163e-05,3.040414454789101134e-02
1.180000000000000071e+01,4.300347791286185384e-05,2.632742682343710769e-02
1.200000000000000000e+01,4.580485256155952811e-05,1.444621911679905800e-02
1.220000000000000107e+01,1.267370680579915643e-05,1.954891588826041665e-02
1.240000000000000036e+01,1.173902928712777793e-04,2.349073713975609670e-02
1.260000000000000142e+01,1.604352582944557071e-04,4.259889741439322475e-02
1.280000000000000071e+01,1.266372710233554244e-04,3.638333081946833886e-02
1.300000000000000000e+01,6.005959949106909335e-05,1.316857541175777899e-02
1.320000000000000107e+01,5.440638778964057565e-05,2.325306020689938899e-02
1.340000000000000036e+01,1.213031064253300428e-04,2.135361162441352934e-02
1.360000000000000142e+01,1.101104717236012220e-04,2.335119302148347745e-02
1.380000000000000071e+01,6.364379805745556951e-05,2.207474751071255778e-02
1.400000000000000000e+01,6.079143349779769778e-05,9.729378148118956668e-03
1.420000000000000107e+01,4.453127257875166833e-05,2.099297848062073660e-02
1.440000000000000036e+01,1.030750208883546293e-04,2.008782279903761903e-02
1.460000000000000142e+01,2.755727291514631361e-05,1.485768823623896673e-02
1.480000000000000071e+01,4.018813342554494739e-05,1.582295952260509911e-02
1.500000000000000000e+01,4.400682882987894118e-05,1.161395681759277640e-02
1.520000000000000107e+01,1.257946132682263851e-04,2.865391351135638393e-02
1.540000000000000036e+01,7.379989983746781945e-05,1.773941593672800909e-02
1.560000000000000142e+01,1.918321504490450025e-04,1.798864403223480318e-02
1.580000000000000071e+01,1.349469239357858896e-04,1.469137282633918226e-02
1.600000000000000000e+01,9.585502994013950229e-05,1.465499136011143289e-02
1.619999999999999929e+01,1.364674826618283987e-04,2.240029737084640871e-02
1.640000000000000213e+01,1.018801558529958129e-04,1.143933048886868961e-02
1.660000000000000142e+01,7.842272316338494420e-05,2.006140938917474331e-02
1.680000000000000071e+01,6.632458826061338186e-05,1.060007857566813184e-02
1.700000000000000000e+01,1.532962342025712132e-04,2.031193110538419624e-02
1.719999999999999929e+01,1.497493212809786201e-04,2.369235185770651730e-02
1.740000000000000213e+01,9.345589933218434453e-05,1.947495387121015928e-02
1.760000000000000142e+01,8.467603765893727541e-05,1.987140535676663877e-02
1.780000000000000071e+01,2.156324917450547218e-04,2.070645215454553281e-02
1.800000000000000000e+01,2.155228721676394343e-04,2.097824690469597686e-02
1.819999999999999929e+01,6.404140731319785118e-04,4.982556984060863142e-02
1.840000000000000213e+01,1.295105175813660026e-04,1.647347868193210774e-02
1.860000000000000142e+01,6.398526602424681187e-05,1.679353981508553348e-02
1.880000000000000071e+01,3.678640132420696318e-05,9.577908037391100193e-03
1.900000000000000000e+01,2.375662734266370535e-05,1.301551048949896837e-02
1.920000000000000284e+01,4.706565596279688179e-05,1.424578751610172493e-02
1.940000000000000213e+01,3.769643080886453390e-05,1.419653739557366103e-02
1.960000000000000142e+01,6.923638284206390381e-05,1.051212000264362123e-02
1.980000000000000071e+01,5.611841334030032158e-05,1.416404279668565837e-02
2.000000000000000000e+01,5.237785080680623651e-05,1.453755002515447030e-02
2.020000000000000284e+01,8.345148671651259065e-05,8.858579820089610909e-03
2.040000000000000213e+01,6.173270958242937922e-05,1.320262477717415624e-02
2.060000000000000142e+01,9.029181092046201229e-05,1.276167486177584402e-02
2.080000000000000071e+01,5.579863136517815292e-05,1.353793280887896112e-02
2.100000000000000000e+01,1.088391145458444953e-04,1.700093859243512195e-02
2.120000000000000284e+01,8.042409899644553661e-05,8.947044796095772121e-03
2.140000000000000213e+01,8.012112812139093876e-05,1.501755847081976195e-02
2.160000000000000142e+01,4.140870805713348091e-05,1.104704720827351730e-02
2.180000000000000071e+01,1.149390300270169973e-04,1.576340882840698496e-02
2.200000000000000000e+01,6.860805297037586570e-05,8.085828777266447151e-03
2.220000000000000284e+01,6.815469532739371061e-05,1.299273878226610626e-02
2.240000000000000213e+01,2.009221680054906756e-05,1.060375853801414497e-02
2.260000000000000142e+01,1.036301109706982970e-04,9.858505866695401257e-03
2.280000000000000071e+01,1.415827136952430010e-04,1.637256419375434160e-02
2.300000000000000000e+01,4.331502350396476686e-05,1.054300630625979590e-02
2.320000000000000284e+01,4.451170752872712910e-05,1.117921115730829799e-02
2.340000000000000213e+01,1.352112158201634884e-04,1.185648686171526280e-02
