frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,5.375879118219017982e-05,1.618803615602162210e-02
1.020000000000000107e+01,2.825210867740679532e-05,1.954102876634633470e-03
1.040000000000000036e+01,9.362073615193367004e-05,1.635947377565741614e-02
1.060000000000000142e+01,1.312786625931039453e-04,2.522805310397359738e-02
1.080000000000000071e+01,4.962995444657281041e-05,9.466284423538697326e-03
1.100000000000000000e+01,3.436937186052091420e-05,1.118031962230692580e-02
1.120000000000000107e+01,1.606986006663646549e-05,6.343717701717458898e-03
1.140000000000000036e+01,1.018296898109838367e-04,1.739900242514934650e-02
1.160000000000000142e+01,6.513864354928955436e-05,1.611413950540662235e-02
1.180000000000000071e+01,4.988750515622086823e-05,5.580774153200327575e-03
1.200000000000000000e+01,6.294498598435893655e-05,9.370035375994355958e-03
1.220000000000000107e+01,5.315989619703032076e-05,1.228859446798182681e-02
1.240000000000000036e+01,3.582117642508819699e-05,6.072126278192895542e-03
1.260000000000000142e+01,9.023771417560055852e-05,1.293367333338622110e-02
1.280000000000000071e+01,9.570214024279266596e-05,1.844536202855807938e-02
1.300000000000000000e+01,1.441388885723426938e-04,1.806353189309141058e-02
1.320000000000000107e+01,1.989495067391544580e-04,2.589361700066980521e-02
1.340000000000000036e+01,1.736006379360333085e-04,2.553853736205351221e-02
1.360000000000000142e+01,1.022148862830363214e-04,1.144879601146899135e-02
1.380000000000000071e+01,3.221423685317859054e-05,2.481956626266368197e-03
1.400000000000000000e+01,2.190693485317751765e-04,3.136542367020415251e-02
1.420000000000000107e+01,1.065257965819910169e-04,1.061853872787022444e-02
1.440000000000000036e+01,1.342255127383396029e-04,1.563766178576163346e-02
1.460000000000000142e+01,3.143365029245615005e-05,1.608029336362803248e-03
1.480000000000000071e+01,3.941404429497197270e-05,4.771427822654171307e-03
1.500000000000000000e+01,8.856048225425183773e-05,1.255412508914713864e-02
1.520000000000000107e+01,9.232707816408947110e-05,1.129561448083094694e-02
1.540000000000000036e+01,4.754336623591370881e-05,5.506329469718164449e-03
1.560000000000000142e+01,4.475938840187154710e-05,7.084189651640585526e-03
1.580000000000000071e+01,1.028473998303525150e-04,1.159557093812775726e-02
1.600000000000000000e+01,4.096995689906179905e-05,5.504952864487988595e-03
1.619999999999999929e+01,9.637428593123331666e-05,9.758905509141638582e-03
1.640000000000000213e+01,1.086209085769951344e-04,8.011921647144567074e-03
1.660000000000000142e+01,7.600351091241464019e-05,7.699949106954226061e-03
1.680000000000000071e+01,2.937011049652937800e-05,1.806378920878282026e-03
1.700000000000000000e+01,3.604232188081368804e-05,5.230847037071845000e-03
1.719999999999999929e+01,6.218371709110215306e-05,4.360043524241976297e-03
1.740000000000000213e+01,6.645858957199379802e-05,5.594032060571252525e-03
1.760000000000000142e+01,8.981682185549288988e-05,8.961247553231195540e-03
1.780000000000000071e+01,1.230027846759185195e-04,1.039533303075193538e-02
1.800000000000000000e+01,1.144443376688286662e-04,8.660187671763368636e-03
1.819999999999999929e+01,5.519950645975768566e-04,4.088091127387000201e-02
1.840000000000000213e+01,2.724032674450427294e-04,1.881411632072118451e-02
1.860000000000000142e+01,9.624959784559905529e-05,6.344161160641551347e-03
1.880000000000000071e+01,5.525228334590792656e-05,3.076096639024101381e-03
1.900000000000000000e+01,3.477605423540808260e-05,1.785774101392501338e-03
1.920000000000000284e+01,1.544557744637131691e-04,9.032814285550630137e-03
1.940000000000000213e+01,7.265591557370498776e-05,5.750883469372425512e-03
1.960000000000000142e+01,1.130867749452590942e-04,8.147187439082815424e-03
1.980000000000000071e+01,8.719402103452011943e-05,5.784867262664947045e-03
2.000000000000000000e+01,4.484135206439532340e-05,3.970635065755464578e-03
2.020000000000000284e+01,7.272261427715420723e-05,3.208165804119317809e-03
2.040000000000000213e+01,1.265193131985142827e-04,6.950104919391692469e-03
2.060000000000000142e+01,7.803367770975455642e-05,3.292285826004074864e-03
2.080000000000000071e+01,3.188567279721610248e-05,9.138747249646024138e-04
2.100000000000000000e+01,8.618325227871537209e-05,3.653453280638427510e-03
2.120000000000000284e+01,9.203112858813256025e-05,6.380696397723987362e-03
2.140000000000000213e+01,6.055260382709093392e-05,2.565952085078878654e-03
2.160000000000000142e+01,4.860727858613245189e-05,1.945190834833855327e-03
2.180000000000000071e+01,8.243191587098408490e-06,8.540844453530137617e-04
2.200000000000000000e+01,1.365124189760535955e-04,6.320570471010839020e-03
2.220000000000000284e+01,1.168364979093894362e-04,6.239192285784385915e-03
2.240000000000000213e+01,8.969257032731547952e-05,4.282258091347010409e-03
2.260000000000000142e+01,4.093993265996687114e-05,1.485604662811815810e-03
2.280000000000000071e+01,9.221165237249806523e-05,3.565239221929806558e-03
2.300000000000000000e+01,1.634094078326597810e-04,6.988529891738416884e-03
2.320000000000000284e+01,7.323045429075136781e-05,3.365101961220501314e-03
2.340000000000000213e+01,9.487743227509781718e-05,4.691453040651060585e-03
2.360000000000000142e+01,4.505641481955535710e-05,2.811658330195000981e-03
2.380000000000000071e+01,1.508366549387574196e-04,6.816538107660813015e-03
2.400000000000000000e+01,6.166121602291241288e-05,2.021824122656365724e-03
2.420000000000000284e+01,2.510373997210990638e-05,1.996455208538405138e-03
2.440000000000000213e+01,3.803429353865794837e-05,6.887225658018689091e-04
2.460000000000000142e+01,9.791243064682930708e-05,3.569077577309529969e-03
2.480000000000000071e+01,1.335241540800780058e-04,5.502418732781016661e-03
2.500000000000000000e+01,7.651378837181255221e-05,2.833808736095446475e-03
2.520000000000000284e+01,5.371257793740369380e-05,3.037121748008879060e-03
2.540000000000000213e+01,1.609575556358322501e-04,7.107363712157499860e-03
2.560000000000000142e+01,9.322465048171579838e-04,3.637131631137422577e-02
2.580000000000000071e+01,5.058572860434651375e-04,1.882007332191934501e-02
2.600000000000000000e+01,2.280732151120901108e-04,7.834886221242474968e-03
2.620000000000000284e+01,2.217929431935772300e-04,8.174516740083927896e-03
2.640000000000000213e+01,1.134419362642802298e-04,4.137209527252280229e-03
2.660000000000000142e+01,1.175123979919590056e-04,4.177384702787841943e-03
2.680000000000000071e+01,1.759284641593694687e-04,5.784696004983315605e-03
2.700000000000000000e+01,1.787446235539391637e-04,6.162250146621860679e-03
2.720000000000000284e+01,1.457711769035086036e-04,4.246369146993256814e-03
2.740000000000000213e+01,1.389486860716715455e-04,4.509959718826539975e-03
2.760000000000000142e+01,1.540617377031594515e-04,4.351066526602221686e-03
2.780000000000000071e+01,2.812395687215030193e-04,8.568820690581679944e-03
2.800000000000000000e+01,4.530241421889513731e-04,1.468210337972900709e-02
2.820000000000000284e+01,4.586750874295830727e-04,1.437160988571405985e-02
2.840000000000000213e+01,4.455192538443952799e-04,1.385740614342913062e-02
2.860000000000000142e+01,3.827650798484683037e-04,1.155604352684464452e-02
2.880000000000000071e+01,6.158084142953157425e-04,1.853014414587830089e-02
2.900000000000000000e+01,7.481439970433712006e-04,2.225522879050048988e-02
2.920000000000000284e+01,7.887594401836395264e-04,2.307831284686355511e-02
2.940000000000000213e+01,1.459431252442300320e-03,4.263730050385807629e-02
2.960000000000000142e+01,4.241669084876775742e-03,1.225052193332780287e-01
2.980000000000000071e+01,3.453681943938136101e-03,9.859201464052243236e-02
3.000000000000000000e+01,1.176576362922787666e-03,3.317863318144850110e-02
3.020000000000000284e+01,4.916884936392307281e-04,1.317147838228383168e-02
3.040000000000000213e+01,1.200380851514637470e-03,3.326973104536755377e-02
3.060000000000000142e+01,7.467459072358906269e-04,2.047423046322355278e-02
3.080000000000000071e+01,5.768808186985552311e-04,1.540331224511112471e-02
3.100000000000000000e+01,4.823823401238769293e-04,1.322463449870214282e-02
3.120000000000000284e+01,3.368245379533618689e-04,9.133621087833559624e-03
3.140000000000000213e+01,8.298089232994243503e-05,2.472100728702103945e-03
3.160000000000000142e+01,2.788806159514933825e-04,7.387775279838821457e-03
3.180000000000000071e+01,3.179381892550736666e-04,8.122233446253077430e-03
3.200000000000000000e+01,2.509818004909902811e-04,6.657542758994355880e-03
3.220000000000000284e+01,1.428218529326841235e-04,3.661721745670732785e-03
3.239999999999999858e+01,2.220259630121290684e-04,5.632619644710574157e-03
3.260000000000000142e+01,1.011497952276840806e-04,2.661331781969511132e-03
3.280000000000000426e+01,1.358406734652817249e-04,3.368164522349211508e-03
3.300000000000000000e+01,1.384105707984417677e-04,3.576145210257151725e-03
3.320000000000000284e+01,1.618427922949194908e-04,3.821497905676236786e-03
3.339999999999999858e+01,1.550739834783598781e-04,3.605484726147091187e-03
3.360000000000000142e+01,5.782438529422506690e-05,1.435245391972712458e-03
3.380000000000000426e+01,8.484823774779215455e-05,2.202515797828063972e-03
3.400000000000000000e+01,1.769064110703766346e-04,3.985847354935972801e-03
3.420000000000000284e+01,1.068217461579479277e-04,2.468614377703012147e-03
3.439999999999999858e+01,2.080234298773575574e-05,8.462440848180769436e-04
3.460000000000000142e+01,3.619523704401217401e-05,1.265252686788399285e-03
3.480000000000000426e+01,1.544990082038566470e-04,3.556885060774870461e-03
3.500000000000000000e+01,4.391198308439925313e-05,5.939513848937045875e-04
3.520000000000000284e+01,3.130553523078560829e-05,1.131159774462698036e-03
3.539999999999999858e+01,1.198589743580669165e-04,2.803198765166319863e-03
3.560000000000000142e+01,3.296947397757321596e-05,1.141003090672410361e-03
3.580000000000000426e+01,7.489278505090624094e-05,1.706521783881325641e-03
3.600000000000000000e+01,3.378818655619397759e-05,7.510248819076771869e-04
3.620000000000000284e+01,1.093364044209010899e-04,2.074133902462443890e-03
3.639999999999999858e+01,1.205799126182682812e-04,2.579768219182471296e-03
3.660000000000000142e+01,1.038968111970461905e-04,1.806297583338272762e-03
3.680000000000000426e+01,8.371708827326074243e-05,1.594257374077202557e-03
3.700000000000000000e+01,7.559217920061200857e-05,1.737016721335179819e-03
3.720000000000000284e+01,2.296749335073400289e-05,7.770726619650791768e-04
3.739999999999999858e+01,6.615199527004733682e-05,1.566166098920041992e-03
3.760000000000000142e+01,8.711964619578793645e-05,1.477938747517954692e-03
3.780000000000000426e+01,3.793309224420227110e-05,1.011065720295205436e-03
3.800000000000000000e+01,1.359692250844091177e-04,2.193160487911316806e-03
3.820000000000000284e+01,7.550443115178495646e-05,1.467809480160193981e-03
3.840000000000000568e+01,1.384127681376412511e-04,2.249597446640583774e-03
3.860000000000000142e+01,2.915052755270153284e-05,1.488398449940896487e-04
3.880000000000000426e+01,3.729065429070033133e-05,7.837644801681062845e-04
3.900000000000000000e+01,5.681145921698771417e-05,1.232439026039036699e-03
3.920000000000000284e+01,5.736027378588914871e-05,5.820026997042092613e-04
3.940000000000000568e+01,7.362972974078729749e-05,1.540978303884636778e-03
3.960000000000000142e+01,2.343110245419666171e-04,3.885147445765605237e-03
3.980000000000000426e+01,1.457991493225563318e-05,5.008851076679616361e-04
4.000000000000000000e+01,2.652091643540188670e-05,7.959699259068404517e-04
4.020000000000000284e+01,4.007285315310582519e-05,5.075194192583474444e-04
4.040000000000000568e+01,1.132867910200729966e-04,2.136069232153889851e-03
4.060000000000000142e+01,1.421603519702330232e-04,1.935590737428992056e-03
4.080000000000000426e+01,3.539067984092980623e-05,3.015341239689888321e-04
4.100000000000000000e+01,1.438079052604734898e-04,2.139733126315524012e-03
4.120000000000000284e+01,1.997136423597112298e-04,2.981367021236394545e-03
4.140000000000000568e+01,1.401387416990473866e-04,2.350533395759714633e-03
4.160000000000000142e+01,1.108651485992595553e-04,1.659597410361425031e-03
4.180000000000000426e+01,2.113283408107236028e-04,3.198709908158373257e-03
4.200000000000000000e+01,1.864601654233410954e-04,2.510701519715079297e-03
