frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,6.772599135729251429e-06,1.166423701792095383e-02
1.020000000000000107e+01,4.995347262592986226e-05,1.811934749234417330e-02
1.040000000000000036e+01,1.551761124574113637e-05,1.139435023142311779e-02
1.060000000000000142e+01,4.477984111872501671e-05,1.558716357045830322e-02
1.080000000000000071e+01,1.882649848994333297e-05,1.257564532278226781e-02
1.100000000000000000e+01,2.650984060892369598e-05,1.157226093738096019e-02
1.120000000000000107e+01,3.243029277655296028e-05,1.200860628901612159e-02
1.140000000000000036e+01,4.007247116533108056e-05,5.756517864052385254e-03
1.160000000000000142e+01,6.123044295236468315e-05,5.234341660667715841e-03
1.180000000000000071e+01,2.718144241953268647e-05,6.622845249589654100e-03
1.200000000000000000e+01,3.141933120787143707e-05,1.202004042316957497e-02
1.220000000000000107e+01,4.460874333744868636e-05,9.938061843349060495e-03
1.240000000000000036e+01,6.371110885083908215e-06,8.069555570324172394e-03
1.260000000000000142e+01,4.847727541346102953e-05,1.163218285145999932e-02
1.280000000000000071e+01,2.944802690763026476e-05,6.147380061841057480e-03
1.300000000000000000e+01,2.697427044040523469e-05,1.063437879438550171e-02
1.320000000000000107e+01,4.451871063793078065e-05,4.105747279996955178e-03
1.340000000000000036e+01,3.031757660210132599e-05,3.465487026417634741e-03
1.360000000000000142e+01,8.789368439465761185e-05,1.789380236140082278e-02
1.380000000000000071e+01,3.317201480967923999e-05,7.979292627689942366e-03
1.400000000000000000e+01,7.741160516161471605e-05,1.051986107323640666e-02
1.420000000000000107e+01,4.013731449958868325e-05,7.798575634774020104e-03
1.440000000000000036e+01,4.146918217884376645e-05,8.690532193505478079e-03
1.460000000000000142e+01,3.627670230343937874e-05,3.375320266110151072e-03
1.480000000000000071e+01,8.794724999461323023e-05,1.164055543780627075e-02
1.500000000000000000e+01,7.060018833726644516e-05,1.136282967328457356e-02
1.520000000000000107e+01,6.227361154742538929e-05,1.283843577612999321e-03
1.540000000000000036e+01,8.419038204010576010e-05,3.279751337260492124e-03
1.560000000000000142e+01,9.055904229171574116e-05,1.033901768898108642e-02
1.580000000000000071e+01,6.248257705010473728e-05,1.192930314073115984e-02
1.600000000000000000e+01,5.722101195715367794e-05,1.569232920821822487e-03
1.619999999999999929e+01,1.432127610314637423e-04,1.082062484452780277e-02
1.640000000000000213e+01,5.632566899294033647e-05,1.048589323386872781e-02
1.660000000000000142e+01,4.199111936031840742e-05,4.108580912469702792e-03
1.680000000000000071e+01,1.691306533757597208e-04,1.100455591476840085e-02
1.700000000000000000e+01,1.745050976751372218e-04,1.531623192150283370e-02
1.719999999999999929e+01,1.297217204410117120e-05,4.737082389350578786e-03
1.740000000000000213e+01,2.152033121092244983e-04,1.364175634171659914e-02
1.760000000000000142e+01,3.381505375728011131e-04,2.531375108882722921e-02
1.780000000000000071e+01,3.371507627889513969e-04,2.369786776189018382e-02
1.800000000000000000e+01,6.920351879671216011e-04,4.982310382716027136e-02
1.819999999999999929e+01,2.509845886379480362e-03,1.965785721412646458e-01
1.840000000000000213e+01,1.260533113963901997e-03,9.897376281573758150e-02
1.860000000000000142e+01,4.156926297582685947e-04,2.855049573618324149e-02
1.880000000000000071e+01,2.536605170462280512e-04,2.270437434050672290e-02
1.900000000000000000e+01,5.137234984431415796e-05,7.227442104443983564e-03
1.920000000000000284e+01,2.507588033040519804e-05,2.769344256791183342e-03
1.940000000000000213e+01,1.007032187771983445e-04,1.103201185986305531e-02
1.960000000000000142e+01,1.068630081135779619e-04,1.026191466589637322e-02
1.980000000000000071e+01,4.980885569239035249e-05,5.690948603212382315e-03
2.000000000000000000e+01,7.056683534756302834e-05,8.688089198561909504e-03
2.020000000000000284e+01,1.040032002492807806e-04,9.729578856610233278e-03
2.040000000000000213e+01,7.746770279482007027e-05,6.632870834899058654e-03
2.060000000000000142e+01,5.070980841992422938e-05,6.329600980400675037e-03
2.080000000000000071e+01,6.994290015427395701e-05,8.121820135700058910e-03
2.100000000000000000e+01,9.253624011762440205e-05,8.467844042645946215e-03
2.120000000000000284e+01,1.638425419514533132e-05,3.064099295382905451e-03
2.140000000000000213e+01,7.379523594863712788e-05,5.607923129151649345e-03
2.160000000000000142e+01,8.589417848270386457e-05,8.557070713528772479e-03
2.180000000000000071e+01,4.242792419972829521e-05,3.318614989410822481e-03
2.200000000000000000e+01,2.123049307556357235e-05,4.615332916863099967e-03
2.220000000000000284e+01,9.132098057307302952e-05,8.349748159713779247e-03
2.240000000000000213e+01,4.835155050386674702e-05,6.185154467612865963e-03
2.260000000000000142e+01,3.587331593735143542e-05,2.291054399010152877e-03
2.280000000000000071e+01,6.133625720394775271e-05,5.317075129144694171e-03
2.300000000000000000e+01,4.883473593508824706e-05,5.970344248619819001e-03
2.320000000000000284e+01,6.370909250108525157e-05,6.490161219987122636e-03
2.340000000000000213e+01,4.991903188056312501e-05,4.708909519131825039e-03
2.360000000000000142e+01,7.601568358950316906e-05,6.064833500517483739e-03
2.380000000000000071e+01,4.428241300047375262e-05,5.141720309691486662e-03
2.400000000000000000e+01,2.933527321147266775e-05,4.307475276884237606e-03
2.420000000000000284e+01,3.971391197410412133e-05,4.848912607510174472e-03
2.440000000000000213e+01,4.919574712403118610e-05,5.480684722572441540e-03
2.460000000000000142e+01,2.454624154779594392e-05,3.570308764912936278e-03
2.480000000000000071e+01,6.866946932859718800e-05,5.687960825994562396e-03
2.500000000000000000e+01,3.329598621348850429e-05,3.099599734975655614e-03
2.520000000000000284e+01,6.605016096727922559e-06,3.318582297265755890e-03
2.540000000000000213e+01,3.491425377433188260e-05,2.299288179211665933e-03
2.560000000000000142e+01,7.857190212234854698e-05,1.952599696597849565e-04
2.580000000000000071e+01,7.049075065879151225e-05,5.851778961658727664e-03
2.600000000000000000e+01,6.223819218575954437e-05,5.496285774522594557e-03
2.620000000000000284e+01,5.114978193887509406e-05,4.801836259759961235e-03
2.640000000000000213e+01,8.499083196511492133e-05,6.081717584260107681e-03
2.660000000000000142e+01,6.300489530985942110e-06,2.901467426186192695e-03
2.680000000000000071e+01,6.966382352402433753e-05,4.958277781016593062e-03
2.700000000000000000e+01,6.946389476070180535e-05,5.431092779226026797e-03
2.720000000000000284e+01,2.619543920445721596e-05,3.751328105628815978e-03
2.740000000000000213e+01,4.933403033646754920e-05,4.329206457284719145e-03
2.760000000000000142e+01,7.971791637828573585e-05,5.608831440247180611e-03
2.780000000000000071e+01,6.949916132725775242e-05,4.122168967435612362e-03
2.800000000000000000e+01,1.154140918515622616e-04,6.361310068879378991e-03
2.820000000000000284e+01,7.175834616646170616e-05,4.323133205958191311e-03
2.840000000000000213e+01,8.116324170259758830e-05,4.571260279370670428e-03
2.860000000000000142e+01,7.302149606402963400e-05,4.967938422805719990e-03
2.880000000000000071e+01,1.003585130092687905e-04,5.684145898834070364e-03
2.900000000000000000e+01,1.599642419023439288e-04,6.807553471680615614e-03
2.920000000000000284e+01,2.225490461569279432e-04,8.964187908688131881e-03
2.940000000000000213e+01,3.134292492177337408e-04,1.124503417025731443e-02
2.960000000000000142e+01,9.352674242109060287e-04,2.903141201938216898e-02
2.980000000000000071e+01,7.593804621137678623e-04,1.995693150601756879e-02
3.000000000000000000e+01,2.657808654475957155e-04,5.782685835554570927e-03
3.020000000000000284e+01,3.972045305999927223e-05,2.856673509629956836e-03
3.040000000000000213e+01,2.054317446891218424e-04,4.190535903915501049e-03
3.060000000000000142e+01,1.537144707981497049e-04,2.230162305400620101e-03
3.080000000000000071e+01,8.340523345395922661e-05,1.244661883919424188e-03
3.100000000000000000e+01,4.912569784210063517e-05,2.419843967284405865e-03
3.120000000000000284e+01,1.078120694728568196e-04,2.246791984700588149e-03
3.140000000000000213e+01,3.527785156620666385e-05,2.495552637809979584e-03
3.160000000000000142e+01,3.199233833584003150e-05,2.319350494390559712e-03
3.180000000000000071e+01,8.725436600798275322e-06,2.685006600194693189e-03
3.200000000000000000e+01,3.866219049086794257e-05,2.137792046307161135e-03
3.220000000000000284e+01,3.552731504896655679e-05,1.674161492251314111e-03
3.239999999999999858e+01,1.096999312721891329e-05,2.350369981049719049e-03
3.260000000000000142e+01,5.853046604897826910e-05,2.429320437316238347e-03
3.280000000000000426e+01,1.932766645040828735e-05,2.027071925920726457e-03
3.300000000000000000e+01,3.989292235928587615e-05,2.974789930436297705e-03
3.320000000000000284e+01,3.957088847528211772e-05,2.136972360964484001e-03
3.339999999999999858e+01,1.550814158690627664e-05,2.110666445090691491e-03
3.360000000000000142e+01,3.907937934854999185e-05,1.648735570203576977e-03
3.380000000000000426e+01,3.553913120413199067e-05,2.059042225347111708e-03
3.400000000000000000e+01,7.233129053929587826e-06,2.424148731975600459e-03
3.420000000000000284e+01,9.972394764190539718e-06,2.486992118372573831e-03
3.439999999999999858e+01,2.551704892539419234e-05,2.626378872741210856e-03
3.460000000000000142e+01,2.442899494781158864e-05,1.876672428745394675e-03
3.480000000000000426e+01,4.359343438409268856e-05,3.232191471486993688e-03
3.500000000000000000e+01,3.329681567265652120e-05,2.380738556276826116e-03
3.520000000000000284e+01,5.377630259317811579e-06,2.399324835705700810e-03
3.539999999999999858e+01,2.161516931664664298e-05,1.850996203083759162e-03
3.560000000000000142e+01,1.804610110411886126e-05,2.607693337714252733e-03
