frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,1.346779172308743000e-04,4.081990794251743465e-02
1.020000000000000107e+01,1.122348548960871994e-04,1.686966083411535477e-02
1.040000000000000036e+01,5.958541078143753111e-05,5.659081943299820901e-03
1.060000000000000142e+01,1.080224537872709334e-04,2.780364920287611147e-02
1.080000000000000071e+01,8.728001557756215334e-05,2.590577977150834363e-02
1.100000000000000000e+01,1.385950745316222310e-04,2.581983803176820039e-02
1.120000000000000107e+01,1.112734025809913874e-04,3.162797778880941518e-02
1.140000000000000036e+01,6.142630445538088679e-05,1.810895813689541653e-02
1.160000000000000142e+01,5.066015728516504169e-05,1.193643844177372237e-02
1.180000000000000071e+01,1.443736109649762511e-04,3.157559578349025675e-02
1.200000000000000000e+01,3.187552647432312369e-05,1.407876663612395683e-02
1.220000000000000107e+01,7.648578321095556021e-05,1.349821514630914800e-02
1.240000000000000036e+01,8.398950740229338408e-05,5.630874357519815090e-03
1.260000000000000142e+01,4.427460953593254089e-05,1.241913152503954648e-02
1.280000000000000071e+01,2.405599370831623673e-04,2.943213369357503689e-02
1.300000000000000000e+01,5.643306576530449092e-05,1.528758033533879519e-02
1.320000000000000107e+01,1.752194511936977506e-04,3.099908706098355310e-02
1.340000000000000036e+01,1.737066777423024178e-04,2.811279899577166438e-02
1.360000000000000142e+01,7.150023884605616331e-05,3.718772071823068289e-03
1.380000000000000071e+01,1.186180597869679332e-04,1.160743912296924307e-02
1.400000000000000000e+01,1.158461018349044025e-04,8.107811538488662872e-03
1.420000000000000107e+01,1.662167051108554006e-04,2.451069176391892229e-02
1.440000000000000036e+01,7.576812640763819218e-05,1.457937090480623289e-02
1.460000000000000142e+01,6.247404962778091431e-05,4.386917336655760287e-03
1.480000000000000071e+01,5.566585969063453376e-05,2.450438198381415665e-04
1.500000000000000000e+01,5.964024239801801741e-05,1.197867451640266187e-02
1.520000000000000107e+01,7.476456084987148643e-05,7.440564136735211033e-03
1.540000000000000036e+01,9.213785233441740274e-05,1.554016900927773261e-02
1.560000000000000142e+01,1.326862839050590992e-04,1.500383122112900272e-02
1.580000000000000071e+01,7.901783828856423497e-05,9.133936950703082716e-03
1.600000000000000000e+01,1.109390868805348873e-04,1.215550482944166739e-02
1.619999999999999929e+01,9.084893827093765140e-05,1.309513440268060026e-02
1.640000000000000213e+01,6.490840314654633403e-05,1.099916806328765997e-02
1.660000000000000142e+01,1.249625929631292820e-04,1.059708098143898741e-02
