frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,1.731488191580865532e-05,1.578440008700374847e-02
1.020000000000000107e+01,7.048268162179738283e-05,2.668839277810126573e-02
1.040000000000000036e+01,6.463201134465634823e-05,1.955657150432303648e-02
1.060000000000000142e+01,7.662445568712428212e-05,2.251616144022599089e-02
1.080000000000000071e+01,1.284435566049069166e-04,2.593460143283673330e-02
1.100000000000000000e+01,1.692962396191433072e-04,3.419787064727291409e-02
1.120000000000000107e+01,8.369935676455497742e-05,1.723886245966991040e-02
1.140000000000000036e+01,9.101347677642479539e-05,1.234053474089841403e-02
1.160000000000000142e+01,4.522213930613361299e-05,1.518658336495708194e-02
1.180000000000000071e+01,4.298142084735445678e-05,3.939737068572150142e-03
1.200000000000000000e+01,4.530886508291587234e-05,3.495101753400886840e-03
1.220000000000000107e+01,4.847368472837843001e-05,2.673958539231157273e-03
1.240000000000000036e+01,1.419607870047912002e-04,2.623251332346441395e-02
1.260000000000000142e+01,6.515503628179430962e-05,1.720332804515977559e-02
1.280000000000000071e+01,9.106638754019513726e-05,2.192396186664965704e-02
1.300000000000000000e+01,1.076165353879332542e-04,6.623951027815579151e-03
1.320000000000000107e+01,2.780050635919906199e-05,5.796557426655980436e-03
1.340000000000000036e+01,7.971174636622890830e-05,1.612630599282496163e-02
1.360000000000000142e+01,1.653998624533414841e-04,1.471242662727970801e-02
1.380000000000000071e+01,1.664353112573735416e-05,9.407621029303958257e-03
1.400000000000000000e+01,1.415985898347571492e-04,2.752219255731269340e-02
1.420000000000000107e+01,1.566054706927388906e-04,1.462248881892000245e-02
1.440000000000000036e+01,6.090255919843912125e-05,1.331950816102352858e-02
1.460000000000000142e+01,1.207958412123844028e-04,1.040632496733175268e-02
1.480000000000000071e+01,4.961083686794154346e-05,1.302086814671666974e-02
1.500000000000000000e+01,4.967670975020155311e-06,8.191408858237745477e-03
1.520000000000000107e+01,6.505825876956805587e-05,9.484768441433243449e-03
1.540000000000000036e+01,3.968510554841486737e-06,8.078173041916936192e-03
1.560000000000000142e+01,3.155889135086908937e-05,5.125549038312277039e-03
1.580000000000000071e+01,1.237094111274927855e-04,1.059369075179929925e-02
1.600000000000000000e+01,2.914888864324893802e-05,8.409138405524580959e-03
1.619999999999999929e+01,3.333244239911437035e-05,5.787807004711809783e-03
1.640000000000000213e+01,1.678205444477498531e-04,9.076569654045036489e-03
1.660000000000000142e+01,7.542457751696929336e-05,1.071886655485813824e-03
1.680000000000000071e+01,8.863084804033860564e-05,4.223226427960157826e-03
1.700000000000000000e+01,5.590069122263230383e-05,1.088137940615451459e-02
1.719999999999999929e+01,7.936364454508293420e-06,6.983354692627619965e-03
1.740000000000000213e+01,1.678623630141373724e-05,8.436713289433401056e-03
1.760000000000000142e+01,5.776141915703192353e-05,1.211293411225946789e-02
1.780000000000000071e+01,1.048934573191218078e-04,3.037698499572729239e-03
1.800000000000000000e+01,9.843932639341801405e-05,2.574445288946617359e-03
1.819999999999999929e+01,6.709985318593680859e-04,5.663741483088383794e-02
1.840000000000000213e+01,1.428119139745831490e-04,1.750260518108434638e-02
1.860000000000000142e+01,4.127985812374390662e-05,4.099134702010942370e-03
1.880000000000000071e+01,4.288879063096828759e-05,4.249960238012187759e-03
1.900000000000000000e+01,8.558254921808838844e-05,1.288112903481754626e-02
1.920000000000000284e+01,8.279279427370056510e-05,1.250954466911036525e-02
1.940000000000000213e+01,9.200390923069790006e-05,7.453377518716472298e-03
1.960000000000000142e+01,7.046499376883730292e-05,8.732794836909330352e-03
1.980000000000000071e+01,6.436773401219397783e-05,6.042673130652490704e-03
2.000000000000000000e+01,5.872076872037723660e-05,9.392677318255632235e-03
2.020000000000000284e+01,7.934558379929512739e-05,1.123127192356964017e-02
2.040000000000000213e+01,5.277249874779954553e-05,3.433634418128851066e-03
2.060000000000000142e+01,3.875235779560171068e-05,8.446125996684839335e-03
2.080000000000000071e+01,1.028064070851542056e-04,2.428658291749678875e-03
2.100000000000000000e+01,7.415984146064147353e-05,8.949797248995592161e-03
2.120000000000000284e+01,7.213299249997362494e-05,1.024141797670775726e-02
2.140000000000000213e+01,7.604104757774621248e-05,9.198814477341667531e-03
2.160000000000000142e+01,1.551453169668093324e-05,6.376010761884451025e-03
2.180000000000000071e+01,1.145927817560732365e-04,9.889711736229709824e-03
