frequency_hz,acceleration_m_s2,displacement_um
1.000000000000000000e+01,1.916683686431497335e-05,2.115083910461056094e-02
1.020000000000000107e+01,1.988557778531685472e-05,1.546997783202117005e-02
1.040000000000000036e+01,1.680026434769388288e-05,1.583665620359582527e-02
1.060000000000000142e+01,3.234761970816180110e-05,1.291853204907578677e-02
1.080000000000000071e+01,2.141767799912486225e-05,2.277361781537906582e-02
1.100000000000000000e+01,2.399974437139462680e-05,1.323465694110937708e-02
1.120000000000000107e+01,2.851107456081081182e-05,1.705181401561214893e-02
1.140000000000000036e+01,2.002099427045322955e-05,1.424055881818700291e-02
1.160000000000000142e+01,8.164060091075953096e-06,1.601549541900629259e-02
1.180000000000000071e+01,1.331782550550997257e-05,1.604297010921777386e-02
1.200000000000000000e+01,2.135696740879211575e-05,1.508431411459499293e-02
1.220000000000000107e+01,1.032541695167310536e-05,1.610273270457692266e-02
1.240000000000000036e+01,1.158004761236952618e-05,1.843583424536221482e-02
1.260000000000000142e+01,3.086360447923652828e-05,1.966256268191884926e-02
1.280000000000000071e+01,5.995298852212727070e-05,9.071318978861958593e-03
1.300000000000000000e+01,8.626709131931420416e-06,1.467941770483974229e-02
1.320000000000000107e+01,5.902573684579692781e-05,1.357522381065857583e-02
1.340000000000000036e+01,3.780527913477271795e-05,1.747959909186486832e-02
1.360000000000000142e+01,2.801826667564455420e-05,1.599833067494337707e-02
1.380000000000000071e+01,2.835660052369348705e-05,1.136651118302539273e-02
1.400000000000000000e+01,3.107238444499671459e-05,1.089364786163137498e-02
1.420000000000000107e+01,5.315744056133553386e-05,9.341513373218651370e-03
1.440000000000000036e+01,4.820551112061366439e-05,1.331185840326227533e-02
1.460000000000000142e+01,1.564201920700725168e-05,1.510207233087489456e-02
1.480000000000000071e+01,4.610205360222607851e-05,1.310678897104131449e-02
1.500000000000000000e+01,3.261337406001985073e-05,1.164691634482060631e-02
1.520000000000000107e+01,1.512962535343831405e-05,1.309058263497425191e-02
1.540000000000000036e+01,6.245983240660279989e-05,9.176853643982118072e-03
1.560000000000000142e+01,3.664550604298710823e-05,9.880671764894363718e-03
1.580000000000000071e+01,3.651561200967989862e-05,9.905629464413295143e-03
1.600000000000000000e+01,7.696948887314647436e-05,8.285209098235863864e-03
1.619999999999999929e+01,4.904967136099003255e-05,1.747749508218917822e-02
1.640000000000000213e+01,6.251791637623682618e-05,1.428413582337037524e-02
1.660000000000000142e+01,4.588471347233280540e-05,1.212696816772133347e-02
1.680000000000000071e+01,5.613567554973997176e-05,1.312710853480349681e-02
1.700000000000000000e+01,3.909576116711832583e-05,1.227245249790045491e-02
1.719999999999999929e+01,6.511448737001046538e-05,1.137935738559189836e-02
1.740000000000000213e+01,9.346842853119596839e-05,7.684045709992714385e-03
1.760000000000000142e+01,1.682792062638327479e-04,1.583611495715700479e-02
1.780000000000000071e+01,1.181825573439709842e-04,1.226106279548063241e-02
1.800000000000000000e+01,5.548463086597621441e-04,4.142664687407428270e-02
1.819999999999999929e+01,3.015393158420920372e-03,2.337056175913048983e-01
1.840000000000000213e+01,8.258880116045475006e-04,6.598805063460108644e-02
1.860000000000000142e+01,2.816182677634060383e-04,2.087809117219144653e-02
1.880000000000000071e+01,5.411707024904899299e-05,7.721863530611055779e-03
1.900000000000000000e+01,3.906193887814879417e-05,1.332374865452174047e-02
1.920000000000000284e+01,4.160936805419623852e-05,1.327919173367363842e-02
1.940000000000000213e+01,1.108996802940964699e-04,1.576236551139306719e-02
1.960000000000000142e+01,3.522820406942628324e-05,1.287068691760188434e-02
1.980000000000000071e+01,4.078779602423310280e-05,1.348328031000785819e-02
2.000000000000000000e+01,7.671013008803129196e-05,1.527253722835187309e-02
2.020000000000000284e+01,1.325897301285294816e-05,1.071130449360289082e-02
2.040000000000000213e+01,2.784154094115365297e-05,1.080450866700362854e-02
2.060000000000000142e+01,3.168904731865040958e-05,1.166000202540246056e-02
2.080000000000000071e+01,3.343204298289492726e-05,1.193674356813456856e-02
2.100000000000000000e+01,6.679932994302362204e-05,9.092465106588325935e-03
2.120000000000000284e+01,4.610145333572290838e-05,1.195514058535390722e-02
2.140000000000000213e+01,2.685756953724194318e-05,9.812028795344646462e-03
2.160000000000000142e+01,1.968426295206882060e-05,1.107089961717766871e-02
2.180000000000000071e+01,4.675666059483774006e-05,1.129054941649748622e-02
2.200000000000000000e+01,2.854924423445481807e-05,1.128910535890458207e-02
2.220000000000000284e+01,1.672479083936195821e-05,8.979018190952257547e-03
2.240000000000000213e+01,3.375435335328802466e-05,1.104102589401035478e-02
2.260000000000000142e+01,5.378318746807053685e-05,1.118379878857970154e-02
2.280000000000000071e+01,3.840452700387686491e-05,1.117407171840350752e-02
2.300000000000000000e+01,2.778719863272272050e-05,8.404859708848867392e-03
2.320000000000000284e+01,1.028929455060278997e-05,9.821272163892967588e-03
2.340000000000000213e+01,2.384760045970324427e-05,1.026869646276823249e-02
2.360000000000000142e+01,4.333846300141885877e-05,1.078896525837696498e-02
2.380000000000000071e+01,3.150613338220864534e-05,1.038976246306520627e-02
2.400000000000000000e+01,3.796621967921964824e-05,1.040696280420862901e-02
2.420000000000000284e+01,2.693620990612544119e-05,8.650830372886391881e-03
2.440000000000000213e+01,8.070317562669515610e-06,9.128086687422529155e-03
2.460000000000000142e+01,5.995908577460795641e-05,1.041469186251285130e-02
2.480000000000000071e+01,1.911521576403174549e-05,9.055558557872664741e-03
2.500000000000000000e+01,1.034563592838821933e-05,8.954722103363028235e-03
2.520000000000000284e+01,1.557940595375839621e-05,8.138607531390684019e-03
2.540000000000000213e+01,4.334239565650932491e-05,1.006668898940129599e-02
2.560000000000000142e+01,7.145209383452311158e-05,7.499550445464036111e-03
2.580000000000000071e+01,8.101901767076924443e-05,1.146622307645168287e-02
2.600000000000000000e+01,7.123712566681206226e-05,1.095405876018781463e-02
2.620000000000000284e+01,8.660100320412311703e-06,8.051641735977567091e-03
2.640000000000000213e+01,2.360720827709883451e-05,9.068437068614883245e-03
2.660000000000000142e+01,2.117066469509154558e-05,8.499539272052254388e-03
2.680000000000000071e+01,1.959037399501539767e-05,8.827390737386911143e-03
2.700000000000000000e+01,8.950695337262004614e-05,1.118756564510020937e-02
2.720000000000000284e+01,6.304075213847681880e-05,1.016653992422369979e-02
2.740000000000000213e+01,1.292853721679421142e-05,8.042208313133335576e-03
2.760000000000000142e+01,5.426337156677618623e-05,9.448477670920461813e-03
2.780000000000000071e+01,4.902796717942692339e-05,9.453435226048622145e-03
2.800000000000000000e+01,8.149373024934902787e-05,1.033354066578798768e-02
2.820000000000000284e+01,8.775515743764117360e-05,1.013886997205114271e-02
2.840000000000000213e+01,6.839658453827723861e-05,9.804593719164179932e-03
2.860000000000000142e+01,8.356388570973649621e-05,1.022311433410967585e-02
2.880000000000000071e+01,1.055602479027584195e-04,1.054942735017414153e-02
2.900000000000000000e+01,1.187730449601076543e-04,1.104442199644422098e-02
2.920000000000000284e+01,1.741919404594227672e-04,1.264928068504446619e-02
2.940000000000000213e+01,2.739262126851826906e-04,1.542384274222134699e-02
2.960000000000000142e+01,9.100239258259534836e-04,3.367014302408789100e-02
2.980000000000000071e+01,8.064254070632159710e-04,1.576211874199223706e-02
3.000000000000000000e+01,2.781934745144098997e-04,1.811445445871907173e-03
3.020000000000000284e+01,2.603117609396576881e-04,8.500067588676646097e-04
3.040000000000000213e+01,7.377983274636790156e-05,6.067263454164000501e-03
3.060000000000000142e+01,9.668798884376883507e-05,4.545343684613021955e-03
3.080000000000000071e+01,6.576011219294741750e-05,5.541611850577184313e-03
3.100000000000000000e+01,8.615503611508756876e-05,4.793258539595447211e-03
3.120000000000000284e+01,6.880367436679080129e-05,5.577021522526192168e-03
3.140000000000000213e+01,6.004256283631548285e-05,5.440385972292230941e-03
3.160000000000000142e+01,2.460554060235153884e-05,6.307781066806929064e-03
3.180000000000000071e+01,3.075734275626018643e-05,6.270728733043211788e-03
3.200000000000000000e+01,5.201447493163868785e-05,5.892807273289713682e-03
3.220000000000000284e+01,4.012330464320257306e-05,5.865473247096113923e-03
3.239999999999999858e+01,1.879489900602493435e-05,6.653735721810274777e-03
3.260000000000000142e+01,3.735563268492114730e-06,6.661910297380409414e-03
3.280000000000000426e+01,4.399554018164053559e-05,6.186300141331885910e-03
3.300000000000000000e+01,4.414364957483485341e-05,5.638233824759554362e-03
3.320000000000000284e+01,1.716169208521023393e-05,6.236031355372162639e-03
3.339999999999999858e+01,2.687916276045143604e-05,6.048725294641813140e-03
3.360000000000000142e+01,2.458896051393821836e-05,6.702042869955894717e-03
3.380000000000000426e+01,3.866490078507922590e-05,6.198564840577349203e-03
3.400000000000000000e+01,2.304393638041801751e-05,5.987131566791516202e-03
3.420000000000000284e+01,3.428864511079154909e-05,5.727944769663596315e-03
3.439999999999999858e+01,3.504042615531943738e-05,5.640785726311870613e-03
3.460000000000000142e+01,5.715186125598847866e-05,5.529948120256535440e-03
